to_station_id,to_station_name,,,,,"=RIGHT(A2,FIND(""-"",A2)-2)","=LEFT(A1,FIND(""-"",A1)-1)","=IF(COUNTIF(B1,""occidental""),""Yes"",""No"")"
SLU-15,Westlake Ave & 6th Ave,,,,,,,
BT-03,2nd Ave & Vine St,,,,,,,
CBD-03,7th Ave & Union St,,,,,,,
SLU-16,Pine St & 9th Ave,,,,,,,
WF-04,Seattle Aquarium / Alaskan Way S & Elliott Bay Trail,,,,,,,
EL-01,Fred Hutchinson Cancer Research Center / Fairview Ave N & Ward St,,,,,,,
WF-01,Pier 69 / Alaskan Way & Clay St,,,,,,,
SLU-04,Republican St & Westlake Ave N,,,,,,,
SLU-19,Key Arena / 1st Ave N & Harrison St,,,,,,,
CH-02,E Harrison St & Broadway Ave E,,,,,,,
BT-04,6th Ave & Blanchard St,,,,,,,
SLU-04,Republican St & Westlake Ave N,,,,,,,
FH-04,Seattle University / E Columbia St & 12th Ave,,,,,,,
WF-04,Seattle Aquarium / Alaskan Way S & Elliott Bay Trail,,,,,,,
PS-04,Occidental Park / Occidental Ave S & S Washington St,,,,,,,
SLU-17,Lake Union Park / Valley St & Boren Ave N,,,,,,,
CH-03,Summit Ave E & E Republican St,,,,,,,
UD-04,12th Ave & NE Campus Pkwy,,,,,,,
UD-07,NE 47th St & 12th Ave NE,,,,,,,
DPD-01,9th Ave N & Mercer St,,,,,,,
WF-01,Pier 69 / Alaskan Way & Clay St,,,,,,,
WF-01,Pier 69 / Alaskan Way & Clay St,,,,,,,
SLU-04,Republican St & Westlake Ave N,,,,,,,
CH-03,Summit Ave E & E Republican St,,,,,,,
CH-01,Summit Ave & E Denny Way,,,,,,,
SLU-02,Dexter Ave N & Aloha St,,,,,,,
SLU-02,Dexter Ave N & Aloha St,,,,,,,
DPD-01,9th Ave N & Mercer St,,,,,,,
UD-04,12th Ave & NE Campus Pkwy,,,,,,,
CH-08,Cal Anderson Park / 11th Ave & Pine St,,,,,,,
CBD-13,2nd Ave & Pine St,,,,,,,
SLU-07,PATH / 9th Ave & Westlake Ave,,,,,,,
SLU-01,REI / Yale Ave N & John St,,,,,,,
PS-05,King Street Station Plaza / 2nd Ave Extension S & S Jackson St,,,,,,,
SLU-16,Pine St & 9th Ave,,,,,,,
