birthyear,(All),,,,,
,,,,,,
,Column Labels,,,,,
,Female,,Male,,Total Total trip time,Total Average trip time
Row Labels,Total trip time,Average trip time,Total trip time,Average trip time,,
2-Sep,717,717,843,281,"1,559",390
3-Sep,,,"3,816",763,"3,816",763
4-Sep,,,"2,488",498,"2,488",498
5-Sep,,,528,528,528,528
6-Sep,298,298,,,298,298
8-Sep,,,"6,481",926,"6,481",926
9-Sep,"1,591",795,"1,146",573,"2,737",684
10-Sep,866,866,"2,837",567,"3,703",617
11-Sep,,,"1,477",739,"1,477",739
12-Sep,,,606,606,606,606
15-Sep,152,152,"4,417",631,"4,568",571
16-Sep,151,151,"3,314",473,"3,464",433
17-Sep,,,"1,732",577,"1,732",577
18-Sep,197,197,"2,257",752,"2,453",613
19-Sep,166,166,,,166,166
21-Sep,"2,562",854,535,535,"3,097",774
22-Sep,"6,100","6,100","5,512",787,"11,612","1,451"
23-Sep,733,367,286,286,"1,019",340
24-Sep,718,718,"4,162",595,"4,880",610
25-Sep,"1,554","1,554",474,237,"2,028",676
28-Sep,178,178,"1,330",443,"1,508",377
29-Sep,"2,277","1,139","6,581",823,"8,859",886
30-Sep,,,"1,521",380,"1,521",380
1-Oct,961,961,"1,604",535,"2,565",641
2-Oct,"1,560",780,"1,681",420,"3,241",540
4-Oct,,,290,290,290,290
5-Oct,146,146,"2,764","1,382","2,910",970
6-Oct,,,"4,630",661,"4,630",661
7-Oct,646,646,"2,515",629,"3,161",632
8-Oct,,,"1,491",373,"1,491",373
9-Oct,673,673,482,241,"1,155",385
12-Oct,392,392,"1,508",377,"1,900",380
CBD-13,"32,721",564,"215,138",453,"247,858",465
1-Aug,833,417,"3,119",520,"3,952",494
2-Aug,,,"1,111",556,"1,111",556
3-Aug,"3,155",526,"3,248",406,"6,404",457
4-Aug,,,"5,504",612,"5,504",612
5-Aug,441,441,"3,054",509,"3,495",499
6-Aug,"2,071",690,"5,013",418,"7,084",472
7-Aug,,,"6,388",532,"6,388",532
8-Aug,449,449,"1,467",367,"1,916",383
9-Aug,"1,859",620,"1,639",546,"3,498",583
10-Aug,,,"1,772",354,"1,772",354
11-Aug,516,516,"3,016",377,"3,533",393
12-Aug,453,453,"4,442",555,"4,895",544
13-Aug,467,467,"2,202",367,"2,669",381
14-Aug,,,"2,076",415,"2,076",415
15-Aug,418,418,"2,377",594,"2,795",559
16-Aug,,,"2,432",347,"2,432",347
17-Aug,"1,010",505,"2,915",416,"3,925",436
18-Aug,486,486,"5,506",424,"5,992",428
19-Aug,904,904,"4,830",690,"5,734",717
20-Aug,,,"3,778",420,"3,778",420
21-Aug,,,"3,972",441,"3,972",441
22-Aug,,,867,433,867,433
23-Aug,,,"4,043",674,"4,043",674
24-Aug,"1,186",593,"3,046",381,"4,232",423
25-Aug,605,605,"3,144",314,"3,749",341
26-Aug,,,"4,691",521,"4,691",521
27-Aug,"1,243","1,243","3,868",352,"5,112",426
28-Aug,,,"6,933",495,"6,933",495
29-Aug,,,"2,297",766,"2,297",766
30-Aug,,,"2,799",466,"2,799",466
31-Aug,498,498,"2,654",332,"3,153",350
1-Sep,558,558,"1,026",257,"1,584",317
2-Sep,224,224,"5,114",639,"5,338",593
3-Sep,765,765,"5,739",441,"6,503",465
4-Sep,,,"2,067",344,"2,067",344
5-Sep,,,"1,918",480,"1,918",480
6-Sep,,,"1,424",475,"1,424",475
7-Sep,,,"1,062",354,"1,062",354
8-Sep,,,"2,059",343,"2,059",343
9-Sep,"1,464",732,"3,048",435,"4,512",501
10-Sep,309,309,"3,586",512,"3,895",487
11-Sep,,,"4,555",414,"4,555",414
12-Sep,479,479,"1,465",488,"1,943",486
13-Sep,,,483,483,483,483
14-Sep,506,506,"1,583",396,"2,089",418
15-Sep,,,"2,973",297,"2,973",297
16-Sep,,,"5,203",520,"5,203",520
17-Sep,,,"2,784",398,"2,784",398
18-Sep,,,"1,864",466,"1,864",466
19-Sep,,,611,306,611,306
20-Sep,,,"1,511",378,"1,511",378
21-Sep,,,338,169,338,169
22-Sep,,,"3,288",365,"3,288",365
23-Sep,897,897,"4,917",447,"5,815",485
24-Sep,,,"11,198","1,018","11,198","1,018"
25-Sep,"1,376",459,"1,637",546,"3,013",502
26-Sep,,,"3,304",472,"3,304",472
27-Sep,,,"1,098",549,"1,098",549
28-Sep,499,499,"1,048",349,"1,548",387
29-Sep,,,"3,755",341,"3,755",341
30-Sep,,,"2,447",489,"2,447",489
1-Oct,"1,516",505,"4,128",459,"5,643",470
2-Oct,198,198,"2,034",407,"2,232",372
3-Oct,331,331,"2,872",479,"3,203",458
4-Oct,448,448,"1,552",388,"2,000",400
5-Oct,"2,074","1,037","4,652",465,"6,727",561
6-Oct,835,417,"2,235",319,"3,070",341
7-Oct,358,358,"2,744",457,"3,101",443
8-Oct,"2,437",812,"2,276",379,"4,713",524
9-Oct,513,513,"2,252",375,"2,765",395
10-Oct,,,"1,188",594,"1,188",594
11-Oct,,,694,347,694,347
12-Oct,338,338,"1,204",301,"1,541",308
CD-01,"40,288",790,"46,385",521,"86,673",619
2-Aug,795,795,,,795,795
3-Aug,796,796,,,796,796
4-Aug,,,"1,035",518,"1,035",518
5-Aug,"3,400","1,133",316,316,"3,717",929
6-Aug,,,"1,807",602,"1,807",602
7-Aug,,,378,378,378,378
8-Aug,"1,243",621,,,"1,243",621
10-Aug,"1,167",584,589,295,"1,757",439
11-Aug,635,635,372,372,"1,007",503
12-Aug,,,302,302,302,302
13-Aug,660,660,588,294,"1,247",416
14-Aug,,,410,410,410,410
15-Aug,298,298,"2,292","2,292","2,590","1,295"
17-Aug,870,870,733,733,"1,604",802
18-Aug,"1,175","1,175",617,308,"1,792",597
19-Aug,,,"1,935",645,"1,935",645
20-Aug,773,773,"5,081","5,081","5,854","2,927"
21-Aug,,,280,280,280,280
22-Aug,,,"2,027",676,"2,027",676
24-Aug,835,835,996,332,"1,830",458
25-Aug,,,"1,377",459,"1,377",459
26-Aug,436,436,351,351,787,393
27-Aug,637,637,"1,720",573,"2,358",589
28-Aug,,,278,278,278,278
29-Aug,,,653,653,653,653
31-Aug,824,824,358,358,"1,182",591
2-Sep,,,317,317,317,317
3-Sep,679,679,972,324,"1,650",413
4-Sep,,,621,310,621,310
5-Sep,264,264,,,264,264
6-Sep,866,866,,,866,866
8-Sep,,,581,581,581,581
9-Sep,722,722,560,280,"1,282",427
10-Sep,581,581,799,400,"1,380",460
11-Sep,,,304,304,304,304
12-Sep,807,404,766,766,"1,573",524
13-Sep,300,300,,,300,300
14-Sep,860,860,484,242,"1,344",448
15-Sep,,,284,284,284,284
16-Sep,778,778,358,358,"1,136",568
17-Sep,683,683,"1,429",476,"2,112",528
18-Sep,,,357,357,357,357
21-Sep,806,806,654,327,"1,460",487
22-Sep,,,"2,139",535,"2,139",535
23-Sep,"1,148",574,332,332,"1,480",493
24-Sep,,,522,261,522,261
25-Sep,,,309,309,309,309
27-Sep,,,593,593,593,593
28-Sep,"1,214",607,"2,809",936,"4,023",805
29-Sep,"1,648",549,332,332,"1,980",495
30-Sep,"1,197",598,282,282,"1,479",493
1-Oct,918,459,316,316,"1,234",411
2-Oct,860,860,373,373,"1,233",617
4-Oct,821,821,613,306,"1,434",478
5-Oct,369,369,"1,185",395,"1,554",389
6-Oct,875,875,272,272,"1,147",573
8-Oct,"2,651","1,326",230,230,"2,881",960
9-Oct,812,812,"1,427",713,"2,238",746
10-Oct,"5,046","5,046",,,"5,046","5,046"
12-Oct,837,837,"1,671",836,"2,508",836
CH-01,"39,557",416,"205,776",474,"245,333",464
1-Aug,,,"1,109",370,"1,109",370
2-Aug,889,889,"2,405",481,"3,294",549
3-Aug,"1,263",421,"5,157",469,"6,419",459
4-Aug,"1,964",491,"2,567",513,"4,531",503
5-Aug,211,211,"3,354",479,"3,565",446
6-Aug,417,417,"2,999",333,"3,417",342
7-Aug,"1,365",683,"1,217",406,"2,582",516
8-Aug,"2,341",780,"1,681",560,"4,023",670
9-Aug,"1,010","1,010","2,412",482,"3,423",570
10-Aug,,,"2,567",428,"2,567",428
11-Aug,639,639,"1,256",419,"1,895",474
12-Aug,137,137,"1,666",416,"1,803",361
13-Aug,224,224,"3,941",563,"4,164",521
14-Aug,,,"2,885",412,"2,885",412
15-Aug,,,"1,197",399,"1,197",399
16-Aug,,,755,377,755,377
17-Aug,761,380,"3,856",428,"4,617",420
18-Aug,"1,057",529,"4,481",560,"5,538",554
19-Aug,,,"2,854",476,"2,854",476
20-Aug,"1,094",547,"3,997",500,"5,090",509
21-Aug,,,"3,354",479,"3,354",479
22-Aug,,,"2,125",354,"2,125",354
23-Aug,987,987,"1,422",356,"2,409",482
24-Aug,188,188,"2,513",359,"2,702",338
25-Aug,664,332,"2,685",384,"3,350",372
26-Aug,530,265,"6,487",541,"7,017",501
27-Aug,833,833,"2,536",362,"3,369",421
28-Aug,"1,025",256,"4,543",568,"5,569",464
29-Aug,121,121,515,515,636,318
30-Aug,,,"3,324",665,"3,324",665
31-Aug,435,217,"5,217",522,"5,651",471
1-Sep,142,142,"1,359",453,"1,502",375
2-Sep,146,146,"3,447",383,"3,593",359
3-Sep,444,444,"4,102",410,"4,546",413
4-Sep,395,198,"4,344",483,"4,739",431
5-Sep,,,"1,956",489,"1,956",489
6-Sep,,,"2,156",431,"2,156",431
7-Sep,,,"1,940",323,"1,940",323
8-Sep,528,528,"4,310",431,"4,837",440
9-Sep,496,248,"2,692",449,"3,188",399
10-Sep,969,484,"2,384",477,"3,353",479
11-Sep,224,224,"4,472",447,"4,695",427
12-Sep,,,"2,819",470,"2,819",470
13-Sep,,,"1,130",377,"1,130",377
14-Sep,134,134,"3,899",433,"4,033",403
15-Sep,,,"3,060",383,"3,060",383
16-Sep,927,309,"3,608",401,"4,535",378
17-Sep,"1,044",522,"1,601",320,"2,645",378
18-Sep,,,"2,477",495,"2,477",495
19-Sep,504,504,"1,160",387,"1,665",416
20-Sep,,,516,258,516,258
21-Sep,178,178,"3,790",379,"3,968",361
22-Sep,"1,762",587,"2,352",392,"4,113",457
23-Sep,906,906,"16,676","2,084","17,582","1,954"
24-Sep,139,139,"4,014",446,"4,153",415
25-Sep,"1,559",520,"1,989",497,"3,547",507
26-Sep,,,"2,111",422,"2,111",422
27-Sep,,,"1,209",242,"1,209",242
28-Sep,141,141,"2,774",396,"2,916",364
29-Sep,136,136,"3,198",533,"3,333",476
30-Sep,611,306,"1,276",425,"1,888",378
1-Oct,"1,517",379,"4,133",459,"5,650",435
2-Oct,"2,161",540,"1,683",421,"3,844",481
3-Oct,,,"1,042",347,"1,042",347
4-Oct,925,462,"1,686",421,"2,610",435
5-Oct,760,380,"3,982",442,"4,742",431
6-Oct,990,495,"2,192",365,"3,182",398
7-Oct,145,145,711,711,856,428
8-Oct,394,197,"3,498",500,"3,891",432
9-Oct,919,306,"2,431",486,"3,350",419
10-Oct,357,357,"1,422",711,"1,780",593
11-Oct,280,280,302,302,581,291
12-Oct,"1,570",523,"2,794",559,"4,364",546
CH-02,"98,101",574,"328,353",485,"426,455",503
1-Aug,"1,406",469,"1,876",469,"3,283",469
2-Aug,"1,857",619,"3,266",467,"5,123",512
3-Aug,"2,187",365,"3,792",421,"5,979",399
4-Aug,"4,341","1,085","3,644",521,"7,985",726
5-Aug,"1,871",624,"6,971",465,"8,842",491
6-Aug,"1,801",450,"6,369",531,"8,170",511
7-Aug,"3,249",812,"5,243",583,"8,492",653
8-Aug,"1,511",504,"5,984",544,"7,495",535
9-Aug,824,412,"2,800",700,"3,624",604
10-Aug,"1,172",586,"7,361",566,"8,533",569
11-Aug,"1,286",429,"4,132",517,"5,418",493
12-Aug,"1,764",588,"6,351",529,"8,114",541
13-Aug,"3,076",615,"3,064",438,"6,140",512
14-Aug,628,314,"1,914",319,"2,542",318
15-Aug,,,"5,132",570,"5,132",570
16-Aug,"1,111",555,"1,913",638,"3,023",605
17-Aug,"2,501",834,"4,316",480,"6,817",568
18-Aug,"1,323",441,"3,930",393,"5,253",404
19-Aug,"1,852",617,"6,863",528,"8,716",545
20-Aug,724,724,"5,449",419,"6,173",441
21-Aug,"1,175",588,"5,342",411,"6,517",434
22-Aug,293,293,"4,187",465,"4,480",448
23-Aug,510,255,"1,313",438,"1,823",365
24-Aug,"1,704",852,"10,030",557,"11,733",587
25-Aug,857,857,"1,680",336,"2,537",423
26-Aug,,,"3,651",365,"3,651",365
27-Aug,271,271,"11,039",649,"11,310",628
28-Aug,"1,206",603,"4,808",534,"6,014",547
29-Aug,"1,047",349,184,184,"1,232",308
30-Aug,910,910,"3,544",506,"4,455",557
31-Aug,666,666,"7,941",662,"8,607",662
1-Sep,,,"4,283",428,"4,283",428
2-Sep,727,727,"4,709",471,"5,436",494
3-Sep,"1,495",747,"6,693",478,"8,188",512
4-Sep,597,597,"2,557",365,"3,154",394
5-Sep,"1,808",603,"3,196",639,"5,004",626
6-Sep,"1,122","1,122","2,749","1,374","3,870","1,290"
7-Sep,429,429,"2,459",492,"2,887",481
8-Sep,"1,289",644,"4,308",431,"5,597",466
9-Sep,"2,173",724,"6,208",621,"8,380",645
10-Sep,"1,917",479,"5,976",664,"7,892",607
11-Sep,"1,404",702,"3,914",489,"5,318",532
12-Sep,670,335,"2,042",681,"2,712",542
13-Sep,"1,417",709,"3,541",506,"4,958",551
14-Sep,"3,317",553,"8,152",582,"11,469",573
15-Sep,867,433,"4,256",426,"5,122",427
16-Sep,"3,277",655,"4,909",446,"8,186",512
17-Sep,,,"3,680",409,"3,680",409
18-Sep,899,899,"3,413",427,"4,312",479
19-Sep,"1,712",571,"2,228",446,"3,940",493
20-Sep,253,253,"1,991",332,"2,244",321
21-Sep,"1,198",599,"7,308",487,"8,507",500
22-Sep,"1,095",547,"4,043",404,"5,137",428
23-Sep,"2,048",683,"5,533",503,"7,581",542
24-Sep,,,"5,519",460,"5,519",460
25-Sep,"1,458",486,"7,512",501,"8,971",498
26-Sep,671,224,"4,505",375,"5,176",345
27-Sep,988,494,937,234,"1,924",321
28-Sep,"1,704",426,"7,227",452,"8,931",447
29-Sep,"1,444",722,"5,569",398,"7,012",438
30-Sep,"2,080",520,"4,307",359,"6,387",399
1-Oct,"2,257",752,"4,450",405,"6,707",479
2-Oct,915,915,"3,725",414,"4,640",464
3-Oct,453,226,979,490,"1,432",358
4-Oct,"1,700",567,"4,564",652,"6,264",626
5-Oct,"2,302",575,"5,206",473,"7,508",501
6-Oct,"1,756",585,"4,963",451,"6,719",480
7-Oct,,,"2,678",383,"2,678",383
8-Oct,"2,953",738,"5,010",455,"7,962",531
9-Oct,"2,518",504,"4,274",389,"6,792",424
10-Oct,111,111,"2,269",454,"2,380",397
11-Oct,838,419,"3,098",443,"3,936",437
12-Oct,"1,119","1,119","9,324",583,"10,443",614
CH-03,"54,058",413,"214,000",447,"268,058",439
1-Aug,384,384,784,261,"1,169",292
2-Aug,,,"1,764",441,"1,764",441
3-Aug,330,330,"1,521",304,"1,851",309
4-Aug,,,"6,039",671,"6,039",671
5-Aug,198,198,"2,372",395,"2,570",367
6-Aug,750,375,"4,589",417,"5,340",411
7-Aug,942,314,"3,581",448,"4,523",411
8-Aug,,,"1,367",456,"1,367",456
9-Aug,,,"2,829",707,"2,829",707
10-Aug,"2,366",592,"1,133",567,"3,500",583
11-Aug,225,225,"3,906",391,"4,131",376
12-Aug,309,154,"1,254",313,"1,562",260
13-Aug,145,145,"3,848",481,"3,993",444
14-Aug,355,355,"3,750",469,"4,105",456
15-Aug,"1,983",496,"1,635",545,"3,617",517
16-Aug,,,"6,810",851,"6,810",851
17-Aug,,,"3,849",481,"3,849",481
18-Aug,970,485,"3,680",409,"4,650",423
19-Aug,"1,426","1,426","4,301",478,"5,727",573
20-Aug,795,397,"3,407",487,"4,201",467
21-Aug,560,280,"2,945",368,"3,506",351
22-Aug,347,347,"1,386",693,"1,733",578
23-Aug,,,908,303,908,303
24-Aug,512,256,"4,312",431,"4,824",402
25-Aug,,,"4,119",458,"4,119",458
26-Aug,,,"2,817",352,"2,817",352
27-Aug,299,299,"2,607",435,"2,906",415
28-Aug,"1,643",411,"4,301",478,"5,943",457
29-Aug,601,601,"2,102",525,"2,703",541
30-Aug,"2,120","1,060","1,728",576,"3,848",770
31-Aug,"1,224",408,"4,290",429,"5,514",424
1-Sep,155,155,"3,066",438,"3,222",403
2-Sep,472,236,"3,609",451,"4,081",408
3-Sep,565,565,"2,931",366,"3,496",388
4-Sep,744,248,"4,548",413,"5,293",378
5-Sep,,,478,478,478,478
6-Sep,669,335,,,669,335
7-Sep,,,"1,335",445,"1,335",445
8-Sep,286,286,"3,911",391,"4,197",382
9-Sep,886,295,"4,149",415,"5,035",387
10-Sep,847,847,"4,372",397,"5,219",435
11-Sep,"1,324",441,"3,804",476,"5,128",466
12-Sep,364,364,452,452,816,408
13-Sep,359,359,"2,877",575,"3,237",539
14-Sep,,,"3,489",436,"3,489",436
15-Sep,452,226,"3,861",429,"4,313",392
16-Sep,492,246,"3,218",460,"3,710",412
17-Sep,318,159,"1,579",395,"1,897",316
18-Sep,"1,083",542,"4,007",572,"5,090",566
19-Sep,413,413,,,413,413
20-Sep,669,669,"1,504",301,"2,172",362
21-Sep,125,125,"3,678",409,"3,803",380
22-Sep,929,232,"3,446",345,"4,375",313
23-Sep,"1,914",479,"3,873",484,"5,787",482
24-Sep,"2,546",509,"3,446",383,"5,991",428
25-Sep,200,200,"2,296",459,"2,497",416
26-Sep,677,677,"2,744",686,"3,420",684
27-Sep,"2,546",636,"1,023",256,"3,569",446
28-Sep,995,497,"3,498",389,"4,493",408
29-Sep,"1,894",379,"3,516",391,"5,410",386
30-Sep,"1,997",499,"4,051",405,"6,048",432
1-Oct,"2,676",382,"4,359",436,"7,035",414
2-Oct,"1,072",357,"5,766",481,"6,839",456
3-Oct,749,749,939,313,"1,688",422
4-Oct,,,301,301,301,301
5-Oct,"1,049",350,"5,487",549,"6,536",503
6-Oct,"1,296",432,"3,989",499,"5,285",480
7-Oct,"1,008",504,"2,186",437,"3,194",456
8-Oct,"1,069",534,"3,868",484,"4,937",494
9-Oct,979,245,"3,268",363,"4,247",327
10-Oct,608,304,558,558,"1,167",389
11-Oct,,,"1,564",521,"1,564",521
12-Oct,"1,147",573,"3,016",377,"4,163",416
CH-05,"142,047",607,"237,026",522,"379,073",551
1-Aug,906,906,,,906,906
2-Aug,203,203,,,203,203
3-Aug,"3,427",490,"5,036",504,"8,463",498
4-Aug,"2,306",461,"2,579",516,"4,885",488
5-Aug,"4,952",707,"3,198",457,"8,150",582
6-Aug,"2,254",563,"2,183",546,"4,437",555
7-Aug,"14,616","2,923","3,091",618,"17,707","1,771"
8-Aug,490,490,"1,328",443,"1,818",455
9-Aug,166,166,"1,885",471,"2,050",410
10-Aug,607,607,"4,025",447,"4,632",463
11-Aug,"2,561",512,"3,740",534,"6,301",525
12-Aug,"2,080",693,"6,021",502,"8,101",540
13-Aug,"2,226",742,"4,196",524,"6,422",584
14-Aug,637,637,"4,064",581,"4,702",588
15-Aug,"3,311",662,"2,546",509,"5,857",586
16-Aug,,,"2,743",549,"2,743",549
17-Aug,"2,312",578,"4,678",520,"6,989",538
18-Aug,"1,534",307,"4,331",433,"5,865",391
19-Aug,"1,630",543,"7,996",615,"9,626",602
20-Aug,981,491,"3,750",625,"4,731",591
21-Aug,"1,429",476,"5,781",578,"7,211",555
22-Aug,347,347,"2,169",434,"2,517",419
23-Aug,"3,048","1,016","2,888",578,"5,936",742
24-Aug,"2,241",448,"6,884",530,"9,124",507
25-Aug,"2,714",678,"2,998",500,"5,712",571
26-Aug,"3,478",580,"5,907",537,"9,384",552
27-Aug,"4,141",690,"6,772",677,"10,914",682
28-Aug,"2,703",541,"4,146",518,"6,849",527
29-Aug,294,294,,,294,294
30-Aug,834,834,"3,627",725,"4,460",743
31-Aug,"3,823",637,"3,356",479,"7,179",552
1-Sep,"1,026",257,"4,283",612,"5,309",483
2-Sep,"3,258",652,"6,167",685,"9,425",673
3-Sep,"5,083",726,"3,423",428,"8,505",567
4-Sep,"1,022",511,"5,255",657,"6,277",628
5-Sep,264,264,"1,913",478,"2,177",435
6-Sep,,,"1,221",305,"1,221",305
7-Sep,223,223,"1,339",268,"1,562",260
8-Sep,"3,417",488,"2,685",537,"6,101",508
9-Sep,"2,577",515,"5,045",504,"7,621",508
10-Sep,"5,728",716,"2,821",403,"8,549",570
11-Sep,"3,920",653,"2,987",597,"6,907",628
12-Sep,791,396,"2,570",857,"3,361",672
13-Sep,,,"1,836",459,"1,836",459
14-Sep,"2,279",570,"2,875",411,"5,154",469
15-Sep,"2,104",421,"4,298",614,"6,402",533
16-Sep,"2,461",615,"4,556",759,"7,017",702
17-Sep,"2,408",482,"3,933",562,"6,341",528
18-Sep,"1,164",582,"1,947",487,"3,112",519
19-Sep,"2,383","1,192","1,753",877,"4,136","1,034"
20-Sep,,,"2,312",462,"2,312",462
21-Sep,682,341,"2,324",581,"3,006",501
22-Sep,"2,332",466,"5,601",622,"7,933",567
23-Sep,"2,244",561,"2,738",391,"4,982",453
24-Sep,"2,457",614,"5,939",660,"8,396",646
25-Sep,"1,740",580,"3,233",462,"4,972",497
26-Sep,,,814,407,814,407
27-Sep,,,"1,885",471,"1,885",471
28-Sep,"1,425",713,"1,707",341,"3,132",447
29-Sep,"2,648",441,"3,047",435,"5,696",438
30-Sep,"2,348",470,"5,320",484,"7,668",479
1-Oct,"2,493",499,"3,798",475,"6,291",484
2-Oct,"2,916",486,"4,543",568,"7,459",533
3-Oct,644,644,472,472,"1,115",558
4-Oct,,,"2,277",455,"2,277",455
5-Oct,"2,144",715,"2,557",426,"4,701",522
6-Oct,493,493,"2,046",512,"2,539",508
7-Oct,681,341,"1,335",445,"2,016",403
8-Oct,"2,142",535,"2,924",487,"5,066",507
9-Oct,"1,458",365,"2,434",406,"3,892",389
10-Oct,,,748,374,748,374
11-Oct,,,"2,885",412,"2,885",412
12-Oct,841,420,"3,264",466,"4,104",456
CH-06,"31,528",595,"123,347",404,"154,875",433
1-Aug,,,"1,216",405,"1,216",405
2-Aug,,,631,210,631,210
3-Aug,428,428,"2,012",402,"2,440",407
4-Aug,442,442,988,247,"1,430",286
5-Aug,472,472,"2,164",361,"2,636",377
6-Aug,485,485,"1,429",286,"1,914",319
7-Aug,,,"3,018",503,"3,018",503
8-Aug,,,982,327,982,327
9-Aug,,,179,179,179,179
10-Aug,,,"2,007",334,"2,007",334
11-Aug,431,431,"1,854",371,"2,285",381
12-Aug,260,260,"1,515",303,"1,775",296
13-Aug,,,"1,602",267,"1,602",267
14-Aug,636,318,"4,046",578,"4,682",520
15-Aug,,,624,624,624,624
16-Aug,,,"1,257",629,"1,257",629
17-Aug,219,219,"2,690",538,"2,909",485
18-Aug,,,"1,985",397,"1,985",397
19-Aug,"1,493","1,493","1,729",346,"3,222",537
20-Aug,227,227,"1,820",455,"2,047",409
21-Aug,875,875,"2,124",354,"2,999",428
22-Aug,,,679,226,679,226
23-Aug,,,635,317,635,317
24-Aug,919,919,"2,310",385,"3,229",461
25-Aug,178,178,"1,661",415,"1,839",368
26-Aug,612,306,927,309,"1,538",308
27-Aug,424,212,"3,017",377,"3,441",344
28-Aug,339,339,"2,975",496,"3,313",473
29-Aug,,,309,309,309,309
31-Aug,163,163,"1,037",259,"1,200",240
1-Sep,878,439,"1,315",329,"2,193",365
2-Sep,290,290,"1,587",397,"1,877",375
3-Sep,799,799,"3,066",511,"3,865",552
4-Sep,,,"2,181",436,"2,181",436
5-Sep,,,160,160,160,160
6-Sep,,,"3,020",604,"3,020",604
7-Sep,"11,994","5,997",180,180,"12,174","4,058"
8-Sep,,,"2,445",349,"2,445",349
9-Sep,,,"2,277",380,"2,277",380
10-Sep,384,192,"1,066",533,"1,450",363
11-Sep,,,"3,084",514,"3,084",514
12-Sep,,,477,238,477,238
13-Sep,,,"1,024","1,024","1,024","1,024"
14-Sep,556,278,"2,711",452,"3,266",408
15-Sep,,,"2,091",418,"2,091",418
16-Sep,,,"1,843",369,"1,843",369
17-Sep,226,226,"3,728",533,"3,954",494
18-Sep,,,"2,988",374,"2,988",374
19-Sep,,,680,680,680,680
20-Sep,,,947,474,947,474
21-Sep,830,415,"1,084",361,"1,914",383
22-Sep,206,206,"1,287",322,"1,493",299
23-Sep,"1,313",657,"3,558",445,"4,871",487
24-Sep,174,174,"1,419",355,"1,593",319
25-Sep,182,182,91,91,273,137
26-Sep,,,369,369,369,369
27-Sep,628,628,445,445,"1,073",536
28-Sep,446,446,"3,219",402,"3,665",407
29-Sep,219,219,"2,489",498,"2,707",451
30-Sep,177,177,"2,648",530,"2,825",471
1-Oct,441,220,"2,391",478,"2,831",404
2-Oct,164,164,"2,641",377,"2,806",351
4-Oct,,,198,198,198,198
5-Oct,410,410,"2,282",326,"2,692",337
6-Oct,176,176,"2,485",497,"2,661",443
7-Oct,366,366,603,302,969,323
8-Oct,508,254,"3,706",529,"4,214",468
9-Oct,681,681,"1,006",503,"1,687",562
10-Oct,,,"2,753",459,"2,753",459
11-Oct,,,971,194,971,194
12-Oct,877,439,"1,410",353,"2,288",381
CH-07,"162,922",619,"422,824",513,"585,747",538
1-Aug,"1,674",837,"4,282",612,"5,956",662
2-Aug,975,244,"2,269",454,"3,244",360
3-Aug,"1,574",525,"10,450",697,"12,024",668
4-Aug,"1,810",452,"6,956",580,"8,766",548
5-Aug,"3,015",754,"7,331",524,"10,346",575
6-Aug,"2,251",450,"6,013",430,"8,265",435
7-Aug,"3,262",652,"8,463",564,"11,725",586
8-Aug,"1,253",418,"2,078",297,"3,331",333
9-Aug,225,225,"2,777",309,"3,001",300
10-Aug,"3,469",694,"8,100",623,"11,569",643
11-Aug,"2,253",751,"7,072",505,"9,325",549
12-Aug,"3,556",593,"5,700",438,"9,257",487
13-Aug,"3,545",886,"5,414",451,"8,958",560
14-Aug,"1,934",645,"5,390",415,"7,324",458
15-Aug,"2,642",881,"4,167",595,"6,809",681
16-Aug,668,334,"4,188",598,"4,856",540
17-Aug,"1,847",616,"8,168",480,"10,015",501
18-Aug,"1,173",586,"10,628",506,"11,801",513
19-Aug,"4,841",605,"12,320",587,"17,161",592
20-Aug,"2,264",453,"5,626",402,"7,890",415
21-Aug,"3,099",620,"6,261",447,"9,360",493
22-Aug,710,355,"4,184",418,"4,895",408
23-Aug,418,418,"3,213",803,"3,630",726
24-Aug,"2,373",475,"9,975",525,"12,348",514
25-Aug,"2,555",511,"5,143",396,"7,698",428
26-Aug,"2,211",369,"6,895",493,"9,106",455
27-Aug,"13,448","2,241","7,891",564,"21,338","1,067"
28-Aug,"2,303",576,"6,818",487,"9,121",507
29-Aug,612,306,"1,063",532,"1,675",419
30-Aug,"2,544",848,"2,959",370,"5,503",500
31-Aug,"1,817",606,"10,206",638,"12,023",633
1-Sep,"2,902",580,"5,298",589,"8,199",586
2-Sep,"1,315",658,"6,989",635,"8,304",639
3-Sep,"1,933",483,"6,080",468,"8,013",471
4-Sep,"2,125",531,"6,228",445,"8,353",464
5-Sep,988,988,"1,060",353,"2,048",512
6-Sep,594,297,"3,406",568,"4,000",500
7-Sep,882,441,"4,798",960,"5,679",811
8-Sep,"3,169",792,"7,903",564,"11,071",615
9-Sep,"2,229",557,"7,046",587,"9,275",580
10-Sep,"2,422",606,"10,480",616,"12,903",614
11-Sep,"4,995",714,"7,118",647,"12,113",673
12-Sep,"2,767",692,"3,624",518,"6,391",581
13-Sep,404,404,"4,344",621,"4,748",594
14-Sep,"4,359",872,"9,869",581,"14,229",647
15-Sep,"2,689",538,"5,575",507,"8,265",517
16-Sep,"3,187",637,"5,462",455,"8,649",509
17-Sep,"1,059",353,"4,218",469,"5,276",440
18-Sep,"1,554",777,"5,460",607,"7,013",638
19-Sep,622,311,"2,673",446,"3,295",412
