birthyear,(All),,,,,
,,,,,,
,Column Labels,,,,,
,Female,,Male,,Total Total trip time,Total Average trip time
Row Labels,Total trip time,Average trip time,Total trip time,Average trip time,,
23-Sep,,,"3,715",464,"3,715",464
24-Sep,"2,072",518,"6,503",591,"8,575",572
25-Sep,"7,529","1,506","5,447",545,"12,975",865
26-Sep,,,"2,458",615,"2,458",615
27-Sep,,,"3,511",502,"3,511",502
28-Sep,705,705,"3,615",516,"4,320",540
29-Sep,"1,398","1,398","3,833",548,"5,231",654
30-Sep,,,"6,479",648,"6,479",648
1-Oct,360,360,"4,647",422,"5,007",417
2-Oct,,,"4,261",473,"4,261",473
3-Oct,,,"1,775",355,"1,775",355
4-Oct,"1,125",562,"1,205",402,"2,329",466
5-Oct,"2,593","1,297","3,185",455,"5,778",642
6-Oct,844,422,"3,981",498,"4,825",482
7-Oct,,,"3,123",446,"3,123",446
8-Oct,,,"4,437",555,"4,437",555
9-Oct,851,851,"5,371",488,"6,222",519
10-Oct,,,"1,765",441,"1,765",441
11-Oct,,,"4,989",713,"4,989",713
12-Oct,601,601,"1,746",437,"2,347",469
BT-04,"39,113",752,"148,848",397,"187,961",440
1-Aug,278,278,703,703,981,490
3-Aug,"1,370",685,"3,147",450,"4,517",502
4-Aug,"1,083","1,083","3,729",622,"4,812",687
5-Aug,,,"3,293",470,"3,293",470
6-Aug,"1,723",862,"1,176",294,"2,899",483
7-Aug,"1,268","1,268","2,916",364,"4,184",465
8-Aug,936,936,448,224,"1,383",461
9-Aug,,,"1,273",318,"1,273",318
10-Aug,"1,146","1,146","3,429",490,"4,575",572
11-Aug,497,497,"3,882",555,"4,378",547
12-Aug,"1,154","1,154","3,019",377,"4,173",464
13-Aug,"1,496",748,"2,483",414,"3,979",497
14-Aug,,,"1,526",381,"1,526",381
15-Aug,,,852,284,852,284
17-Aug,,,"4,157",520,"4,157",520
18-Aug,"1,119",560,"1,362",340,"2,481",414
19-Aug,,,"2,001",400,"2,001",400
20-Aug,533,533,822,274,"1,354",339
21-Aug,,,"3,077",615,"3,077",615
22-Aug,,,640,640,640,640
23-Aug,,,353,353,353,353
24-Aug,"5,947","5,947","2,613",327,"8,559",951
25-Aug,572,286,"2,380",340,"2,952",328
26-Aug,664,664,"3,664",407,"4,328",433
27-Aug,"1,100","1,100","2,312",385,"3,412",487
28-Aug,"1,089","1,089","2,673",445,"3,762",537
29-Aug,,,443,443,443,443
30-Aug,,,947,316,947,316
31-Aug,947,947,"2,363",394,"3,310",473
1-Sep,,,"1,656",414,"1,656",414
2-Sep,,,"2,887",321,"2,887",321
3-Sep,344,344,"1,990",332,"2,334",333
4-Sep,529,529,"1,675",335,"2,205",367
5-Sep,710,710,733,733,"1,443",722
7-Sep,,,666,333,666,333
8-Sep,,,"1,943",324,"1,943",324
9-Sep,451,451,"3,171",453,"3,622",453
10-Sep,"1,914",638,"3,789","1,263","5,703",951
11-Sep,,,"1,384",277,"1,384",277
12-Sep,,,767,383,767,383
13-Sep,,,398,398,398,398
14-Sep,,,"1,846",369,"1,846",369
15-Sep,"1,273",636,"2,589",324,"3,861",386
16-Sep,361,361,"5,758",443,"6,119",437
17-Sep,,,"1,748",350,"1,748",350
18-Sep,301,301,"2,378",297,"2,680",298
19-Sep,682,682,,,682,682
20-Sep,,,"1,058",353,"1,058",353
21-Sep,"1,903",952,"2,755",344,"4,658",466
22-Sep,896,448,"1,968",328,"2,864",358
23-Sep,,,"4,731",430,"4,731",430
24-Sep,"1,028",514,"4,241",424,"5,269",439
25-Sep,,,"1,163",291,"1,163",291
26-Sep,,,"2,352",784,"2,352",784
27-Sep,,,358,358,358,358
28-Sep,464,464,"1,419",284,"1,883",314
29-Sep,334,334,"2,384",298,"2,717",302
30-Sep,"1,404",702,"2,989",374,"4,393",439
1-Oct,356,356,"4,263",426,"4,618",420
2-Oct,"1,202",601,"2,007",287,"3,209",357
3-Oct,,,591,295,591,295
4-Oct,526,526,505,252,"1,031",344
5-Oct,,,"1,436",287,"1,436",287
6-Oct,531,266,"2,215",277,"2,746",275
7-Oct,,,"4,537",412,"4,537",412
8-Oct,980,980,"3,346",372,"4,327",433
9-Oct,,,"4,852",607,"4,852",607
10-Oct,,,312,312,312,312
11-Oct,,,824,275,824,275
12-Oct,,,"1,485",297,"1,485",297
BT-05,"64,727",654,"137,882",514,"202,609",552
1-Aug,631,631,"2,912",971,"3,543",886
2-Aug,"1,213",404,979,489,"2,192",438
3-Aug,173,173,"2,339",390,"2,512",359
4-Aug,"1,834",611,"2,571",367,"4,405",441
5-Aug,303,303,"4,547",568,"4,851",539
6-Aug,415,415,"2,124",531,"2,540",508
7-Aug,"1,542",514,"2,311",462,"3,854",482
8-Aug,"1,459",486,"2,135",534,"3,594",513
9-Aug,,,"2,269",567,"2,269",567
10-Aug,"1,267",633,"1,195",597,"2,461",615
11-Aug,"1,653",551,"1,437",359,"3,090",441
12-Aug,"1,109",554,"2,423",485,"3,532",505
13-Aug,"1,684",842,"1,512",504,"3,196",639
14-Aug,,,"15,058","5,019","15,058","5,019"
15-Aug,,,"1,236",618,"1,236",618
16-Aug,752,752,"1,922",480,"2,674",535
17-Aug,,,"2,035",509,"2,035",509
18-Aug,936,936,"1,796",359,"2,732",455
19-Aug,"3,733",747,"1,326",331,"5,059",562
20-Aug,"1,349",674,"1,599",400,"2,947",491
21-Aug,"1,433","1,433","2,765",461,"4,198",600
22-Aug,645,645,"1,748",437,"2,393",479
23-Aug,"2,442","1,221",368,368,"2,810",937
24-Aug,902,902,"1,473",246,"2,376",339
25-Aug,646,323,"2,812",562,"3,458",494
26-Aug,"1,032",516,"2,044",409,"3,076",439
27-Aug,,,"1,249",416,"1,249",416
28-Aug,,,901,300,901,300
29-Aug,,,175,175,175,175
30-Aug,,,708,236,708,236
31-Aug,803,803,"1,679",420,"2,482",496
1-Sep,"1,720",573,"2,619",437,"4,339",482
2-Sep,"1,964",655,"3,758",376,"5,721",440
3-Sep,486,486,"1,447",362,"1,932",386
4-Sep,,,"3,546",709,"3,546",709
5-Sep,,,"2,445",489,"2,445",489
6-Sep,,,"1,224",408,"1,224",408
7-Sep,,,"1,372",343,"1,372",343
8-Sep,664,664,"3,156",631,"3,820",637
9-Sep,"2,985",746,"3,180",530,"6,165",616
10-Sep,"2,707",677,"2,216",443,"4,923",547
11-Sep,186,186,"3,182",530,"3,368",481
12-Sep,,,"1,223",612,"1,223",612
13-Sep,,,"1,118",559,"1,118",559
14-Sep,999,999,"1,269",423,"2,267",567
15-Sep,921,921,"2,024",405,"2,945",491
16-Sep,"2,502",834,"1,335",445,"3,836",639
17-Sep,915,915,"1,267",422,"2,182",545
18-Sep,"1,480",740,"1,852",463,"3,332",555
19-Sep,,,"1,533",511,"1,533",511
20-Sep,,,981,490,981,490
21-Sep,"1,309",654,654,654,"1,963",654
22-Sep,890,890,"2,062",687,"2,952",738
23-Sep,"1,733",578,"2,706",676,"4,439",634
24-Sep,350,350,"1,537",384,"1,886",377
25-Sep,"3,448",575,"2,656",531,"6,103",555
26-Sep,,,"1,590",530,"1,590",530
27-Sep,,,334,334,334,334
28-Sep,931,931,"1,596",532,"2,527",632
29-Sep,,,"2,477",354,"2,477",354
30-Sep,,,"1,226",409,"1,226",409
1-Oct,986,986,722,361,"1,709",570
2-Oct,"1,590",530,"1,550",517,"3,140",523
3-Oct,,,485,485,485,485
