starttime,from_station_name,sum,,=YEAR(A2),MONTH(A2),"=ROUNDUP(MONTH(A2)/3,0)",HOUR(A2)
10/13/2014 13:09,Occidental Park / Occidental Ave S & S Washington St,1071.535,,2014,10,4,13
10/13/2014 13:09,REI / Yale Ave N & John St,524.861,,2014,10,4,13
10/13/2014 13:16,E Harrison St & Broadway Ave E,466.29,,2014,10,4,13
10/13/2014 13:18,E Harrison St & Broadway Ave E,215.288,,2014,10,4,13
10/13/2014 13:20,2nd Ave & Spring St,601.665,,2014,10,4,13
10/13/2014 13:20,NE 47th St & 12th Ave NE,746.342,,2014,10,4,13
10/13/2014 13:21,NE 47th St & 12th Ave NE,714.822,,2014,10,4,13
10/13/2014 13:27,2nd Ave & Spring St,364.088,,2014,10,4,13
10/13/2014 13:30,7th Ave & Union St,1453.65,,2014,10,4,13
10/13/2014 13:32,Cal Anderson Park / 11th Ave & Pine St,579.836,,2014,10,4,13
10/13/2014 13:36,6th Ave S & S King St,465.569,,2014,10,4,13
10/13/2014 13:36,E Harrison St & Broadway Ave E,3304.856,,2014,10,4,13
10/13/2014 13:36,Occidental Park / Occidental Ave S & S Washington St,930.967,,2014,10,4,13
10/13/2014 13:36,UW Magnuson Health Sciences Center Rotunda / Columbia Rd & San Juan Rd,4328.649,,2014,10,4,13
10/13/2014 13:38,Key Arena / 1st Ave N & Harrison St,1086.674,,2014,10,4,13
10/13/2014 13:40,King Street Station Plaza / 2nd Ave Extension S & S Jackson St,1400.333,,2014,10,4,13
10/13/2014 13:43,Children's Hospital / Sandpoint Way NE & 40th Ave NE,528.344,,2014,10,4,13
10/13/2014 13:44,Seattle Aquarium / Alaskan Way S & Elliott Bay Trail,1499.49,,2014,10,4,13
10/13/2014 13:45,15th Ave E & E Thomas St,241.254,,2014,10,4,13
10/13/2014 13:45,Pier 69 / Alaskan Way & Clay St,1467.996,,2014,10,4,13
10/13/2014 13:46,Pier 69 / Alaskan Way & Clay St,1414.177,,2014,10,4,13
10/13/2014 13:49,Cal Anderson Park / 11th Ave & Pine St,457.588,,2014,10,4,13
10/13/2014 13:51,Dexter Ave N & Aloha St,472.548,,2014,10,4,13
10/13/2014 13:56,Occidental Park / Occidental Ave S & S Washington St,692.33,,2014,10,4,13
10/13/2014 13:57,2nd Ave & Pine St,532.93,,2014,10,4,13
10/13/2014 13:58,Occidental Park / Occidental Ave S & S Washington St,879.996,,2014,10,4,13
10/13/2014 14:03,City Hall / 4th Ave & James St,284.349,,2014,10,4,14
10/13/2014 14:03,REI / Yale Ave N & John St,1901.545,,2014,10,4,14
10/13/2014 14:05,2nd Ave & Spring St,320.165,,2014,10,4,14
10/13/2014 14:05,Cal Anderson Park / 11th Ave & Pine St,107.847,,2014,10,4,14
10/13/2014 14:05,REI / Yale Ave N & John St,1778.2,,2014,10,4,14
10/13/2014 14:06,E Pine St & 16th Ave,362.646,,2014,10,4,14
10/13/2014 14:06,REI / Yale Ave N & John St,1718.521,,2014,10,4,14
10/13/2014 14:12,1st Ave & Marion St,1402.638,,2014,10,4,14
10/13/2014 14:13,REI / Yale Ave N & John St,1580.701,,2014,10,4,14
10/13/2014 14:14,E Harrison St & Broadway Ave E,146.367,,2014,10,4,14
